"Statistic","Year","Age","Type of Registration","UNIT","VALUE"
"Used  (Imported) Cars Registered","2013","7 years","Gross registrations","Number","2173"
"Used  (Imported) Cars Registered","2013","7 years","Exempt registrations","Number","263"
"Used  (Imported) Cars Registered","2013","7 years","Net registrations","Number","1910"
"Used  (Imported) Cars Registered","2013","8 years","Gross registrations","Number","2352"
"Used  (Imported) Cars Registered","2013","8 years","Exempt registrations","Number","185"
"Used  (Imported) Cars Registered","2013","8 years","Net registrations","Number","2167"
"Used  (Imported) Cars Registered","2013","9 years","Gross registrations","Number","2543"
"Used  (Imported) Cars Registered","2013","9 years","Exempt registrations","Number","166"
"Used  (Imported) Cars Registered","2013","9 years","Net registrations","Number","2377"
"Used  (Imported) Cars Registered","2013","10 years","Gross registrations","Number","2120"
"Used  (Imported) Cars Registered","2013","10 years","Exempt registrations","Number","143"
"Used  (Imported) Cars Registered","2013","10 years","Net registrations","Number","1977"
"Used  (Imported) Cars Registered","2013","11 years","Gross registrations","Number","1384"
"Used  (Imported) Cars Registered","2013","11 years","Exempt registrations","Number","132"
"Used  (Imported) Cars Registered","2013","11 years","Net registrations","Number","1252"
"Used  (Imported) Cars Registered","2013","12 years","Gross registrations","Number","916"
"Used  (Imported) Cars Registered","2013","12 years","Exempt registrations","Number","94"
